Dwayne Johnson
Vin Diesel
Will Smith
Robert Downey Jr.
Chris Hemsworth
Leonardo DiCaprio
Ryan Reynolds
Chris Pratt
Hugh Jackman
Mark Wahlberg
Henry Cavill
Chris Evans
Johnny Depp
Tom Hardy
Tom Cruise
Matthew McConaughey
Ben Affleck
Christian Bale
Ryan Gosling
Chris Pine
Benedict Cumberbatch
Matt Damon
Adam Sandler
Jake Gyllenhaal
Logan Lerman
Nicholas Hoult
Michael Fassbender
Casey Affleck
Liam Hemsworth
Channing Tatum
Andrew Garfield
Taylor Kitsch
Joseph Gordon-Levitt
Dylan O’Brien
James McAvoy
Luke Evans
Matt Bomer
Orlando Bloom
Josh Hartnett
Tye Sheridan
Jesse Eisenberg
Alexander Skarsgard
James Franco
Colin Farrell
Jeremy Renner
Dave Franco
Eddie Redmayne
Eric Bana
Edward Norton
Adrien Brody
